organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference
Capromys pilorides,GCA_004027915.1,representative genome,na,PRJNA399377,SAMN07678066,PVKN000000000.1,34842,34842,na,US015,latest,Scaffold,Major,Full,2019-01-16,CapPil_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/915/GCA_004027915.1_CapPil_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,2352358.0,2352358.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Capromyidae,Cuban hutia,,11.3,x,[143]
Carollia perspicillata,GCA_004027735.1,representative genome,na,PRJNA399439,SAMN07678055,PVKM000000000.1,40233,40233,na,US073,latest,Scaffold,Major,Full,2019-01-16,CarPer_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/735/GCA_004027735.1_CarPer_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,1925339.0,1925339.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Short-tailed leaf-nosed bat (+),,12.4,x,[143]
Castor canadensis,GCA_001984765.1,representative genome,na,PRJNA359140,SAMN06187566,MTKA00000000.1,51338,51338,na,Ward,latest,Scaffold,Major,Full,2017-02-04,C.can genome v1.0,Hospital for Sick Children,GCF_001984765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/984/765/GCA_001984765.1_C.can_genome_v1.0,na,na,haploid,vertebrate_mammalian,,,39.5,0.0,21157.0,21157.0,Hospital for Sick Children,Annotation submitted by Hospital for Sick Children,,0.0,0.0,0.0,na, ,American beaver (+),15.0,,x,[21]
Catagonus wagneri,GCA_004024745.2,representative genome,na,PRJNA399378,SAMN07678067,PVHT000000000.2,51154,51154,na,BS18,latest,Scaffold,Major,Full,2019-07-15,CatWag_v2_BIUU_UCD,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/024/745/GCA_004024745.2_CatWag_v2_BIUU_UCD,na,na,haploid,vertebrate_mammalian,,,42.5,0.0,1183730.0,1183730.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Tayassuidae,Chaco peccary,,1.0,x,[100]
Cavia porcellus,GCA_000151735.1,representative genome,na,PRJNA12583,SAMN02981223,AAKN00000000.2,10141,10141,strain=inbred line 2N,na,latest,Scaffold,Major,Full,2008-03-03,Cavpor3.0,"The Genome Sequencing Platform, The Genome Assembly Team",GCF_000151735.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/735/GCA_000151735.1_Cavpor3.0,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,3143.0,61603.0,"The Genome Sequencing Platform, The Genome Assembly Team","Annotation submitted by The Genome Sequencing Platform, The Genome Assembly Team",,0.0,0.0,0.0,na, ,Guinea pig,14.8,,x,[21]
Cebuella pygmaea,GCA_963575105.1,representative genome,na,PRJEB67744,SAMEA14464444,CAUYSX000000000.1,9493,9493,na,JAP720,latest,Scaffold,Major,Full,2023-11-02,PGDP_CebPyg,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/105/GCA_963575105.1_PGDP_CebPyg,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,153437.0,153437.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Pygmy marmoset (+),10.0,,x,[100]
Cebus albifrons,GCA_023783575.1,representative genome,na,PRJNA785018,SAMN23575333,JAKFHX000000000.1,9514,9514,na,KIZ-2021_2,latest,Contig,Major,Full,2022-06-17,ASM2378357v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/575/GCA_023783575.1_ASM2378357v1,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,2079.0,2079.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,na, ,White-fronted capuchin (+),40.0,,x,[100]
Cercocebus atys,GCA_000955945.1,representative genome,na,PRJNA157077,SAMN03379531,JZLG00000000.1,9531,9531,na,FAK,latest,Scaffold,Major,Full,2015-03-19,Caty_1.0,Human Genome Sequencing Center - BCM,GCF_000955945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/955/945/GCA_000955945.1_Caty_1.0,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,11433.0,76752.0,Human Genome Sequencing Center - BCM,Annotation submitted by Human Genome Sequencing Center - BCM,,0.0,0.0,0.0,na, ,Sooty mangabey,,26.8,m,[104]
Cercocebus torquatus,GCA_963574135.1,representative genome,na,PRJEB67744,SAMEA112483009,CAUYOL000000000.1,9530,9530,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_CerTor,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/135/GCA_963574135.1_PGDP_CerTor,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,156471.0,156471.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Collared mangabey (+),30.0,,x,[100]
Cercopithecus ascanius,GCA_963574115.1,representative genome,na,PRJEB67744,SAMEA112482825,CAUYPR000000000.1,36223,36223,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerAsc,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/115/GCA_963574115.1_PGDP_CerAsc,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,238279.0,238279.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Red-tailed guenon,,28.3,f,[104]
Cercopithecus cephus,GCA_963575225.1,representative genome,na,PRJEB67744,SAMEA112482834,CAUYUF000000000.1,9535,9535,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerCep,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/225/GCA_963575225.1_PGDP_CerCep,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,241681.0,241681.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Mustached guenon (+),,23.0,m,[104]
Cercopithecus diana,GCA_963574765.1,representative genome,na,PRJEB67744,SAMEA112482852,CAUYRX000000000.1,36224,36224,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_CerDia,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/765/GCA_963574765.1_PGDP_CerDia,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,189558.0,189558.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Diana monkey,,19.0,x,[100]
Cercopithecus hamlyni,GCA_963574815.1,representative genome,na,PRJEB67744,SAMEA112482853,CAUYRU000000000.1,9536,9536,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerHam,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/815/GCA_963574815.1_PGDP_CerHam,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,171624.0,171624.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Owl-faced monkey,,27.0,m,[104]
Cercopithecus mitis,GCA_028627265.1,representative genome,na,PRJNA512907,SAMN25565059,JAQQSH000000000.1,36225,36225,na,Sample3913,latest,Chromosome,Major,Full,2023-02-16,Cercopithecus_mitis_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/627/265/GCA_028627265.1_Cercopithecus_mitis_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,36.0,1396160.0,1396160.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Blue monkey (+),,27.1,f,[104]
Cercopithecus mona,GCA_014849445.1,representative genome,na,PRJNA595456,SAMN13555793,JABBCR000000000.1,36226,36226,na,YP180528-039,latest,Scaffold,Major,Full,2020-10-05,KIZ_CMon_1.0,"Kunming Institute of Zoology, Chinese Academy of Sciences",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/849/445/GCA_014849445.1_KIZ_CMon_1.0,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,1889.0,1889.0,"Kunming Institute of Zoology, Chinese Academy of Sciences","Annotation submitted by Kunming Institute of Zoology, Chinese Academy of Sciences",,0.0,0.0,0.0,32986826, ,Mona monkey (+),30.0,,x,[100]
Cercopithecus neglectus,GCA_963574685.1,representative genome,na,PRJEB67744,SAMEA112482851,CAUYQZ000000000.1,36227,36227,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerNeg,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/685/GCA_963574685.1_PGDP_CerNeg,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,133645.0,133645.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,De Brazza’s monkey,,26.3,f,[104]
Cercopithecus nictitans,GCA_963575045.1,representative genome,na,PRJEB67744,SAMEA112482826,CAUYSU000000000.1,36228,36228,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerNic,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/045/GCA_963575045.1_PGDP_CerNic,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,185219.0,185219.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Greater spot-nosed monkey,,23.0,f,[104]
Cercopithecus petaurista,GCA_963575065.1,representative genome,na,PRJEB67744,SAMEA112482866,CAUYSW000000000.1,100487,100487,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerPet,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/065/GCA_963575065.1_PGDP_CerPet,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,184940.0,184940.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Lesser spot-nosed guenon (+),,19.0,x,[104]
Cercopithecus pogonias,GCA_963575055.1,representative genome,na,PRJEB67744,SAMEA112482867,CAUYSS000000000.1,102108,102108,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_CerPog,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/055/GCA_963575055.1_PGDP_CerPog,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,174978.0,174978.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Crowned guenon,,24.1,f,[104]
Cervus elaphus,GCA_910594005.1,representative genome,na,PRJEB45838,SAMEA7523520,CAJVBL000000000.1,9860,9860,na,na,latest,Chromosome,Major,Full,2021-07-07,mCerEla1.1,WELLCOME SANGER INSTITUTE,GCF_910594005.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/594/005/GCA_910594005.1_mCerEla1.1,na,na,haploid,vertebrate_mammalian,,,43.0,34.0,144.0,144.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Red deer,26.8,,x,[21]
Cheirogaleus major,GCA_963574435.1,representative genome,na,PRJEB67744,SAMEA112483134,CAUYPO000000000.1,47177,47177,na,na,latest,Scaffold,Major,Full,2023-10-31,PGDP_CheMaj,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/435/GCA_963574435.1_PGDP_CheMaj,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,149423.0,149423.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cheirogaleidae,Greater dwarf lemur,,15.0,x,[192]
Cheirogaleus medius,GCA_008086735.1,representative genome,na,PRJNA523575,SAMN11334321,VBSM00000000.1,9460,9460,na,cmid_1.0_TD,latest,Scaffold,Major,Full,2019-08-26,ASM808673v1,Duke University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/086/735/GCA_008086735.1_ASM808673v1,na,na,haploid,vertebrate_mammalian,2121890802.0,2108928330.0,40.0,0.0,3231.0,3231.0,Duke University,Annotation submitted by Duke University,,0.0,0.0,0.0,31435007, ,Fat-tailed dwarf lemur,,18.0,x,[100]
Chinchilla lanigera,GCA_000276665.1,representative genome,na,PRJNA68239,SAMN00632093,AGCD00000000.1,34839,34839,na,Chin_1,latest,Scaffold,Major,Full,2012-07-09,ChiLan1.0,Broad Institute,GCF_000276665.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/665/GCA_000276665.1_ChiLan1.0,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,2838.0,81655.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Chinchilla,11.3,,x,[21]
Choloepus didactylus,GCA_015220235.1,representative genome,na,PRJNA561937,SAMN12612024,JADCNF000000000.1,27675,27675,na,mChoDid1,latest,Chromosome,Major,Full,2020-11-03,mChoDid1.pri,Vertebrate Genomes Project,GCF_015220235.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/235/GCA_015220235.1_mChoDid1.pri,na,na,haploid,vertebrate_mammalian,,,40.0,29.0,145.0,145.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Megalonychidae,Linne’s two-toed sloth (+),,27.8,x,[143]
Choloepus hoffmanni,GCA_000164785.2,representative genome,na,PRJNA30809,SAMN02146716,ABVD00000000.2,9358,9358,na,OR478-KB4484,latest,Scaffold,Major,Full,2014-09-30,C_hoffmanni-2.0.1,"The Genome Institute, Washington University School of Medicine",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/785/GCA_000164785.2_C_hoffmanni-2.0.1,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,269084.0,370041.0,"The Genome Institute, Washington University School of Medicine","Annotation submitted by The Genome Institute, Washington University School of Medicine",,0.0,0.0,0.0,na, ,Hoffmann’s two-toed sloth (+),,32.1,x,[143]
Chrysocyon brachyurus,GCA_028533335.1,representative genome,na,PRJNA512907,SAMN16895755,JAQIGB000000000.1,68728,68728,na,Sample0146,latest,Chromosome,Major,Full,2023-02-09,Chrysocyon_brachyurus_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/533/335/GCA_028533335.1_Chrysocyon_brachyurus_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,38.0,120371.0,120371.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Maned wolf,,15.0,x,[100] [192]
Coendou prehensilis,GCA_028534165.1,representative genome,na,PRJNA512907,SAMN13072004,JAPYYN000000000.1,187985,187985,na,Bobby Sue,latest,Chromosome,Major,Full,2023-02-09,Coendou_prehensilis_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/534/165/GCA_028534165.1_Coendou_prehensilis_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,37.0,1753065.0,1753065.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na,Erethizontidae,Prehensile-tailed porcupine,,17.3,x,[143]
Colobus guereza,GCA_030247045.1,representative genome,na,PRJNA790674,SAMN24220312,DAKLCV000000000.1,33548,33548,na,XZ-2021d,latest,Chromosome,Major,Full,2023-06-12,ASM3024704v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/247/045/GCA_030247045.1_ASM3024704v1,na,na,haploid,vertebrate_mammalian,,,41.0,24.0,2570.0,2570.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,37268856, ,Guereza,,24.0,x,[100]
Colobus polykomos,GCA_963574725.1,representative genome,na,PRJEB67744,SAMEA112482848,CAUYRQ000000000.1,9572,9572,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_ColPol,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/725/GCA_963574725.1_PGDP_ColPol,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,183862.0,183862.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Western black and white colobus (+),,27.5,x,[115]
Connochaetes taurinus,GCA_006408615.1,representative genome,na,PRJNA438286,SAMN08714482,SJXO00000000.1,9927,9927,na,BWD-738,latest,Scaffold,Major,Full,2019-06-24,BWD,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/615/GCA_006408615.1_BWD,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,78350.0,78350.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Brindled wildebeest,,20.0,x,[100]
Crocuta crocuta,GCA_008692635.1,representative genome,na,PRJNA554753,SAMN12283067,VOAJ00000000.1,9678,9678,na,KB4526,latest,Scaffold,Major,Full,2019-10-07,BGI_CrCroc_1.0,BGI,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/692/635/GCA_008692635.1_BGI_CrCroc_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,24678.0,24678.0,BGI,Annotation submitted by BGI,,19698.0,17057.0,0.0,na,Hyaenidae,Spotted hyena,,41.1,x,[143]
Cryptoprocta ferox,GCA_028646485.1,representative genome,na,PRJNA512907,SAMN14122058,JAQQST000000000.1,94188,94188,na,Sample0336,latest,Chromosome,Major,Full,2023-02-16,Cryptoprocta_ferox_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/646/485/GCA_028646485.1_Cryptoprocta_ferox_HiC,na,na,haploid,vertebrate_mammalian,,,41.5,21.0,185515.0,185515.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Fossa (+),,20.0,x,[2] [3] [164] [229]
Dama dama,GCA_033118175.1,representative genome,na,PRJNA905851,SAMN31886425,JASJUW000000000.1,30532,30532,na,Ldn47,latest,Chromosome,Major,Full,2023-11-02,ASM3311817v1,University of Central Lancashire,GCF_033118175.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/118/175/GCA_033118175.1_ASM3311817v1,na,na,haploid,vertebrate_mammalian,,,42.5,35.0,284.0,284.0,University of Central Lancashire,Annotation submitted by University of Central Lancashire,,0.0,0.0,0.0,na, ,Fallow deer (+),,20.0,x,[72]
Dasyprocta punctata,GCA_004363535.1,representative genome,na,PRJNA399386,SAMN07678076,RJWM00000000.1,34846,34846,na,BS37,latest,Scaffold,Major,Full,2019-03-22,DasPun_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/535/GCA_004363535.1_DasPun_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,986664.0,986664.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Central American agouti (+),10.0,,x,[100]
Dasypus novemcinctus,GCA_030445035.1,representative genome,na,PRJNA923800,SAMN32738980,JAUJUA000000000.1,9361,9361,na,mDasNov1,latest,Chromosome,Major,Full,2023-07-13,mDasNov1.hap2,Vertebrate Genomes Project,GCF_030445035.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/445/035/GCA_030445035.1_mDasNov1.hap2,na,na,haploid,vertebrate_mammalian,,,41.0,32.0,539.0,539.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,Common long-nosed armadillo,15.0,,x,[100] [334]
Dasyurus viverrinus,GCA_020854095.1,representative genome,na,PRJNA758704,SAMN21032600,JAJAFV000000000.1,9279,9279,na,TARZ-13805.1,latest,Chromosome,Major,Full,2021-11-12,UniMelb_DasViv_v1.0,The University of Melbourne,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/854/095/GCA_020854095.1_UniMelb_DasViv_v1.0,na,na,haploid,vertebrate_mammalian,,,36.0,7.0,76.0,76.0,The University of Melbourne,Annotation submitted by The University of Melbourne,,0.0,0.0,0.0,na, ,Quoll,,6.8,x,[143]
Daubentonia madagascariensis,GCA_023783475.1,representative genome,na,PRJNA785018,SAMN23575337,JAKFHU000000000.1,31869,31869,na,KIZ-2021_6,latest,Contig,Major,Full,2022-06-17,ASM2378347v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/475/GCA_023783475.1_ASM2378347v1,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,2701.0,2701.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,na,Daubentoniidae,Aye-aye,,23.3,x,[143]
Delphinapterus leucas,GCA_002288925.3,representative genome,na,PRJNA360851,SAMN06216270,NQVZ00000000.2,9749,9749,na,GAN/ISIS: 26980492/103006,latest,Scaffold,Major,Full,2019-09-03,ASM228892v3,BC Cancer Agency,GCF_002288925.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/925/GCA_002288925.3_ASM228892v3,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,5904.0,29443.0,BC Cancer Agency,Annotation submitted by BC Cancer Agency,,0.0,0.0,0.0,29232881,Monodontidae,"White, or beluga whale",17.3,,x,[21]
Delphinus delphis,GCA_949987515.1,representative genome,na,PRJEB61571,SAMEA111380534,CATLKE000000000.1,9728,9728,na,na,latest,Chromosome,Major,Full,2023-05-01,mDelDel1.1,WELLCOME SANGER INSTITUTE,GCF_949987515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/987/515/GCA_949987515.1_mDelDel1.1,na,na,haploid,vertebrate_mammalian,,,42.0,23.0,630.0,630.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Common dolphin (+),20.0,,x,[175] [240] [284]
Desmodus rotundus,GCA_022682495.1,representative genome,na,PRJNA789528,SAMN24116476,JAKFFZ000000000.1,9430,9430,na,HL8,latest,Chromosome,Major,Full,2022-03-24,HLdesRot8A,Bat1K,GCF_022682495.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/682/495/GCA_022682495.1_HLdesRot8A,na,na,haploid,vertebrate_mammalian,2113473284.0,2113218221.0,43.0,14.0,572.0,572.0,Bat1K,Annotation submitted by Bat1K,,0.0,0.0,0.0,na, ,Common vampire bat,,19.5,f,[187]
Dicrostonyx torquatus,GCA_028555095.1,representative genome,na,PRJNA903212,SAMN31792452,JAQHUG000000000.1,85952,85952,ecotype=Chukotka,UAM 84102,latest,Scaffold,Major,Full,2023-02-08,ASM2855509v1,University of Alaska Fairbanks,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/555/095/GCA_028555095.1_ASM2855509v1,na,na,haploid,vertebrate_mammalian,,2077408939.0,42.0,0.0,31147.0,31147.0,University of Alaska Fairbanks,Annotation submitted by University of Alaska Fairbanks,,0.0,0.0,0.0,36329382, ,Arctic lemming,,3.8,x,[100]
Dinomys branickii,GCA_004027595.1,representative genome,na,PRJNA399389,SAMN07678079,PVLD000000000.1,108858,108858,na,US070,latest,Scaffold,Major,Full,2019-01-16,DinBra_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/595/GCA_004027595.1_DinBra_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,1158438.0,1158438.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Dinomyidae,Pacarana,,9.4,x,[143]
Dipodomys ordii,GCA_000151885.2,representative genome,na,PRJNA20385,SAMN02900551,ABRO00000000.2,10020,10020,na,6190,latest,Scaffold,Major,Full,2014-12-12,Dord_2.0,Baylor College of Medicine,GCF_000151885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/885/GCA_000151885.2_Dord_2.0,na,na,haploid,vertebrate_mammalian,,2065314047.0,42.0,0.0,65193.0,148226.0,Baylor College of Medicine,Annotation submitted by Baylor College of Medicine,,0.0,0.0,0.0,na, ,Kangaroo rat,,9.8,x,[299]
Dolichotis patagonum,GCA_004027295.1,representative genome,na,PRJNA399391,SAMN07678081,PVJX000000000.1,29091,29091,na,US062,latest,Scaffold,Major,Full,2019-01-16,DolPat_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/295/GCA_004027295.1_DolPat_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,1905764.0,1905764.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Patagonian cavy,,14.0,x,[101]
Dugong dugon,GCA_030035585.1,representative genome,na,PRJNA932812,SAMN33212336,JASCZL000000000.1,29137,29137,na,mDugDug1,latest,Chromosome,Major,Full,2023-05-18,mDugDug1.hap1,Vertebrate Genomes Project,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/035/585/GCA_030035585.1_mDugDug1.hap1,na,na,haploid,vertebrate_mammalian,,,40.5,24.0,198.0,198.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Dugongidae,Dugong (+),55.0,,x,[192]
