organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count,gc-perc
Cervus elaphus,GCA_910594005.1,representative genome,na,PRJEB45838,SAMEA7523520,CAJVBL000000000.1,9860,9860,na,na,latest,Chromosome,Major,Full,2021-07-07,mCerEla1.1,WELLCOME SANGER INSTITUTE,GCF_910594005.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/594/005/GCA_910594005.1_mCerEla1.1,na,na,haploid,vertebrate_mammalian,,,43.0,34.0,144.0,144.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Red deer,26.8,,x,[21],2886619877.0,40.0,0.0,0.0,145.0,83473711.0,13.0,64362491.0,51846305.0,185.0,68741660.0,17.0,10400.0,35.0,145.0,145.0,43.0
Cervus elaphus,GCF_910594005.1,representative genome,na,PRJNA764704,SAMEA7523520,CAJVBL000000000.1,9860,9860,na,na,latest,Chromosome,Major,Full,2021-07-07,mCerEla1.1,WELLCOME SANGER INSTITUTE,GCA_910594005.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/594/005/GCF_910594005.1_mCerEla1.1,na,na,haploid,vertebrate_mammalian,,,43.0,34.0,144.0,144.0,NCBI RefSeq,NCBI Cervus elaphus Annotation Release 100,,37348.0,22941.0,9840.0,na, ,Red deer,26.8,,x,[21],2886603524.0,40.0,0.0,0.0,144.0,83473711.0,13.0,64362491.0,51846305.0,184.0,68741660.0,17.0,10400.0,34.0,144.0,144.0,43.0
Cheirogaleus major,GCA_963574435.1,representative genome,na,PRJEB67744,SAMEA112483134,CAUYPO000000000.1,47177,47177,na,na,latest,Scaffold,Major,Full,2023-10-31,PGDP_CheMaj,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/435/GCA_963574435.1_PGDP_CheMaj,na,na,haploid,vertebrate_mammalian,,,40.5,0.0,149423.0,149423.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cheirogaleidae,Greater dwarf lemur,,15.0,x,[192],2207294751.0,99.0,0.0,0.0,149423.0,30010.0,21002.0,15241.0,7193.0,149487.0,30011.0,21001.0,6178.0,0.0,149423.0,149423.0,40.5
Cheirogaleus medius,GCA_008086735.1,representative genome,na,PRJNA523575,SAMN11334321,VBSM00000000.1,9460,9460,na,cmid_1.0_TD,latest,Scaffold,Major,Full,2019-08-26,ASM808673v1,Duke University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/086/735/GCA_008086735.1_ASM808673v1,na,na,haploid,vertebrate_mammalian,2121890802.0,2108928330.0,40.0,0.0,3231.0,3231.0,Duke University,Annotation submitted by Duke University,,0.0,0.0,0.0,31435007, ,Fat-tailed dwarf lemur,,18.0,x,[100],2121890802,127672,0,0,3231,48318266,14,20311042,7841072,130903,34905,16524,12962472,0,3231,3231,2121890802
Chinchilla lanigera,GCA_000276665.1,representative genome,na,PRJNA68239,SAMN00632093,AGCD00000000.1,34839,34839,na,Chin_1,latest,Scaffold,Major,Full,2012-07-09,ChiLan1.0,Broad Institute,GCF_000276665.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/276/665/GCA_000276665.1_ChiLan1.0,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,2838.0,81655.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Chinchilla,11.3,,x,[21],2390852391,78817,0,0,2838,21893125,37,12247874,5312119,81655,61105,10854,106575991,0,2838,81655,41
Chinchilla lanigera,GCF_000276665.1,representative genome,na,PRJNA210822,SAMN00632093,AGCD00000000.1,34839,34839,na,Chin_1,latest,Scaffold,Major,Full,2012-08-28,ChiLan1.0,Broad Institute,GCA_000276665.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/665/GCF_000276665.1_ChiLan1.0,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,2838.0,81655.0,NCBI RefSeq,NCBI Chinchilla lanigera Annotation Release 101,,30122.0,20537.0,5689.0,23607317, ,Chinchilla,11.3,,x,[21],2390868971,78817,0,0,2839,21893125,37,12247874,5312119,81656,61105,10854,106575991,1,2839,81656,41
Choloepus didactylus,GCA_015220235.1,representative genome,na,PRJNA561937,SAMN12612024,JADCNF000000000.1,27675,27675,na,mChoDid1,latest,Chromosome,Major,Full,2020-11-03,mChoDid1.pri,Vertebrate Genomes Project,GCF_015220235.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/235/GCA_015220235.1_mChoDid1.pri,na,na,haploid,vertebrate_mammalian,,,40.0,29.0,145.0,145.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Megalonychidae,Linne’s two-toed sloth (+),,27.8,x,[143],3214702604.0,1239.0,0.0,0.0,146.0,146178362.0,9.0,89644403.0,55058534.0,1385.0,20994632.0,45.0,80992395.0,30.0,146.0,146.0,40.0
Choloepus didactylus,GCF_015220235.1,representative genome,na,PRJNA678727,SAMN12612024,JADCNF000000000.1,27675,27675,na,mChoDid1,latest,Chromosome,Major,Full,2020-11-03,mChoDid1.pri,Vertebrate Genomes Project,GCA_015220235.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/235/GCF_015220235.1_mChoDid1.pri,na,na,haploid,vertebrate_mammalian,,,40.0,29.0,145.0,145.0,NCBI RefSeq,NCBI Choloepus didactylus Annotation Release 100,,41055.0,23549.0,5050.0,na,Megalonychidae,Linne’s two-toed sloth (+),,27.8,x,[143],3214702648.0,1239.0,0.0,0.0,146.0,146178362.0,9.0,89644403.0,55058534.0,1385.0,20994632.0,45.0,80992395.0,30.0,146.0,146.0,40.0
Choloepus hoffmanni,GCA_000164785.2,representative genome,na,PRJNA30809,SAMN02146716,ABVD00000000.2,9358,9358,na,OR478-KB4484,latest,Scaffold,Major,Full,2014-09-30,C_hoffmanni-2.0.1,"The Genome Institute, Washington University School of Medicine",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/785/GCA_000164785.2_C_hoffmanni-2.0.1,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,269084.0,370041.0,"The Genome Institute, Washington University School of Medicine","Annotation submitted by The Genome Institute, Washington University School of Medicine",,0.0,0.0,0.0,na, ,Hoffmann’s two-toed sloth (+),,32.1,x,[143],3286013499,100957,0,0,269084,366442,2423,126438,14711,370041,64490,13390,62660941,0,269084,370041,40
Chrysocyon brachyurus,GCA_028533335.1,representative genome,na,PRJNA512907,SAMN16895755,JAQIGB000000000.1,68728,68728,na,Sample0146,latest,Chromosome,Major,Full,2023-02-09,Chrysocyon_brachyurus_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/533/335/GCA_028533335.1_Chrysocyon_brachyurus_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,38.0,120371.0,120371.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Maned wolf,,15.0,x,[100] [192],2338097569.0,36822.0,0.0,0.0,120371.0,60785871.0,15.0,47712893.0,35781974.0,157193.0,91425.0,7429.0,9912600.0,38.0,120371.0,120371.0,41.0
Coendou prehensilis,GCA_028534165.1,representative genome,na,PRJNA512907,SAMN13072004,JAPYYN000000000.1,187985,187985,na,Bobby Sue,latest,Chromosome,Major,Full,2023-02-09,Coendou_prehensilis_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/534/165/GCA_028534165.1_Coendou_prehensilis_HiC,na,na,haploid,vertebrate_mammalian,,,41.0,37.0,1753065.0,1753065.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na,Erethizontidae,Prehensile-tailed porcupine,,17.3,x,[143],2849765846.0,45490.0,0.0,0.0,1753065.0,42412415.0,23.0,5253.0,312.0,1798555.0,32746.0,20912.0,19508600.0,37.0,1753065.0,1753065.0,41.0
Colobus guereza,GCA_030247045.1,representative genome,na,PRJNA790674,SAMN24220312,DAKLCV000000000.1,33548,33548,na,XZ-2021d,latest,Chromosome,Major,Full,2023-06-12,ASM3024704v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/247/045/GCA_030247045.1_ASM3024704v1,na,na,haploid,vertebrate_mammalian,,,41.0,24.0,2570.0,2570.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,37268856, ,Guereza,,24.0,x,[100],2976664877.0,1886.0,0.0,0.0,2570.0,149281349.0,9.0,114660633.0,75875964.0,4456.0,15612012.0,54.0,1064010.0,24.0,2570.0,2570.0,41.0
Colobus polykomos,GCA_963574725.1,representative genome,na,PRJEB67744,SAMEA112482848,CAUYRQ000000000.1,9572,9572,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_ColPol,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/725/GCA_963574725.1_PGDP_ColPol,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,183862.0,183862.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na, ,Western black and white colobus (+),,27.5,x,[115],2739651615,457,0,0,183862,29403,27333,15112,7262,184122,29403,27333,26530,0,183862,183862,41
Connochaetes taurinus,GCA_006408615.1,representative genome,na,PRJNA438286,SAMN08714482,SJXO00000000.1,9927,9927,na,BWD-738,latest,Scaffold,Major,Full,2019-06-24,BWD,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/615/GCA_006408615.1_BWD,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,78350.0,78350.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Brindled wildebeest,,20.0,x,[100],2644042816,53490,0,0,78350,366224,2060,175240,72578,131840,70608,10786,47691639,0,78350,78350,42
Crocuta crocuta,GCA_008692635.1,representative genome,na,PRJNA554753,SAMN12283067,VOAJ00000000.1,9678,9678,na,KB4526,latest,Scaffold,Major,Full,2019-10-07,BGI_CrCroc_1.0,BGI,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/692/635/GCA_008692635.1_BGI_CrCroc_1.0,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,24678.0,24678.0,BGI,Annotation submitted by BGI,,19698.0,17057.0,0.0,na,Hyaenidae,Spotted hyena,,41.1,x,[143],2348377234.0,72900.0,0.0,0.0,24679.0,7236831.0,105.0,3669633.0,1309398.0,97579.0,97873.0,6667.0,21429946.0,1.0,24679.0,24679.0,41.5
Cryptoprocta ferox,GCA_028646485.1,representative genome,na,PRJNA512907,SAMN14122058,JAQQST000000000.1,94188,94188,na,Sample0336,latest,Chromosome,Major,Full,2023-02-16,Cryptoprocta_ferox_HiC,DNA Zoo,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/646/485/GCA_028646485.1_Cryptoprocta_ferox_HiC,na,na,haploid,vertebrate_mammalian,,,41.5,21.0,185515.0,185515.0,DNA Zoo,Annotation submitted by DNA Zoo,,0.0,0.0,0.0,na, ,Fossa (+),,20.0,x,[2] [3] [164] [229],2373352832.0,27578.0,0.0,0.0,185515.0,107277967.0,9.0,87868890.0,57168716.0,213093.0,124286.0,5431.0,10310600.0,21.0,185515.0,185515.0,41.5
Dama dama,GCA_033118175.1,representative genome,na,PRJNA905851,SAMN31886425,JASJUW000000000.1,30532,30532,na,Ldn47,latest,Chromosome,Major,Full,2023-11-02,ASM3311817v1,University of Central Lancashire,GCF_033118175.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/118/175/GCA_033118175.1_ASM3311817v1,na,na,haploid,vertebrate_mammalian,,,42.5,35.0,284.0,284.0,University of Central Lancashire,Annotation submitted by University of Central Lancashire,,0.0,0.0,0.0,na, ,Fallow deer (+),,20.0,x,[72],3104328096.0,44.0,0.0,0.0,285.0,77069784.0,16.0,59569233.0,8316368.0,329.0,68791581.0,18.0,4400.0,36.0,285.0,285.0,42.5
Dama dama,GCF_033118175.1,representative genome,na,PRJNA1045691,SAMN31886425,JASJUW000000000.1,30532,30532,na,Ldn47,latest,Chromosome,Major,Full,2023-11-02,ASM3311817v1,University of Central Lancashire,GCA_033118175.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/118/175/GCF_033118175.1_ASM3311817v1,na,na,haploid,vertebrate_mammalian,,,42.5,35.0,284.0,284.0,NCBI RefSeq,GCF_033118175.1-RS_2023_11,,34584.0,22157.0,7557.0,na, ,Fallow deer (+),,20.0,x,[72],3104280228.0,44.0,0.0,0.0,284.0,77069784.0,16.0,59569233.0,8316368.0,328.0,68791581.0,18.0,4400.0,35.0,284.0,284.0,42.5
Dasyprocta punctata,GCA_004363535.1,representative genome,na,PRJNA399386,SAMN07678076,RJWM00000000.1,34846,34846,na,BS37,latest,Scaffold,Major,Full,2019-03-22,DasPun_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/363/535/GCA_004363535.1_DasPun_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,986664.0,986664.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Central American agouti (+),10.0,,x,[100],3012098298,6459,0,0,986664,43703,17174,10600,1759,993123,38650,19800,645900,0,986664,986664,41
Dasypus novemcinctus,GCA_030445035.1,representative genome,na,PRJNA923800,SAMN32738980,JAUJUA000000000.1,9361,9361,na,mDasNov1,latest,Chromosome,Major,Full,2023-07-13,mDasNov1.hap2,Vertebrate Genomes Project,GCF_030445035.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/445/035/GCA_030445035.1_mDasNov1.hap2,na,na,haploid,vertebrate_mammalian,,,41.0,32.0,539.0,539.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na, ,Common long-nosed armadillo,15.0,,x,[100] [334],3570983346.0,771.0,0.0,0.0,540.0,130056132.0,11.0,87381012.0,54781498.0,1311.0,14295626.0,67.0,11475092.0,33.0,540.0,540.0,41.0
Dasypus novemcinctus,GCF_030445035.1,representative genome,na,PRJNA994966,SAMN32738980,JAUJUA000000000.1,9361,9361,na,mDasNov1,latest,Chromosome,Major,Full,2023-07-13,mDasNov1.hap2,Vertebrate Genomes Project,GCA_030445035.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/445/035/GCF_030445035.1_mDasNov1.hap2,na,na,haploid,vertebrate_mammalian,,,41.0,32.0,539.0,539.0,NCBI RefSeq,GCF_030445035.1-RS_2023_07,,42269.0,22468.0,10513.0,na, ,Common long-nosed armadillo,15.0,,x,[100] [334],3570966115.0,771.0,0.0,0.0,539.0,130056132.0,11.0,87381012.0,54781498.0,1310.0,14295626.0,67.0,11475092.0,32.0,539.0,539.0,41.0
Dasyurus viverrinus,GCA_020854095.1,representative genome,na,PRJNA758704,SAMN21032600,JAJAFV000000000.1,9279,9279,na,TARZ-13805.1,latest,Chromosome,Major,Full,2021-11-12,UniMelb_DasViv_v1.0,The University of Melbourne,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/854/095/GCA_020854095.1_UniMelb_DasViv_v1.0,na,na,haploid,vertebrate_mammalian,,,36.0,7.0,76.0,76.0,The University of Melbourne,Annotation submitted by The University of Melbourne,,0.0,0.0,0.0,na, ,Quoll,,6.8,x,[143],3139221772,431,0,0,76,628486596,3,468983349,255917514,507,13753271,72,42715,7,76,76,3139221772
Daubentonia madagascariensis,GCA_023783475.1,representative genome,na,PRJNA785018,SAMN23575337,JAKFHU000000000.1,31869,31869,na,KIZ-2021_6,latest,Contig,Major,Full,2022-06-17,ASM2378347v1,BGI-Shenzhen,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/475/GCA_023783475.1_ASM2378347v1,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,2701.0,2701.0,BGI-Shenzhen,Annotation submitted by BGI-Shenzhen,,0.0,0.0,0.0,na,Daubentoniidae,Aye-aye,,23.3,x,[143],2412003188,0,0,0,2701,27954151,26,0,0,2701,2701,40,2412003188,2412003188,0,0,40
Delphinapterus leucas,GCA_002288925.3,representative genome,na,PRJNA360851,SAMN06216270,NQVZ00000000.2,9749,9749,na,GAN/ISIS: 26980492/103006,latest,Scaffold,Major,Full,2019-09-03,ASM228892v3,BC Cancer Agency,GCF_002288925.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/288/925/GCA_002288925.3_ASM228892v3,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,5904.0,29443.0,BC Cancer Agency,Annotation submitted by BC Cancer Agency,,0.0,0.0,0.0,29232881,Monodontidae,"White, or beluga whale",17.3,,x,[21],2362782543,23544,0,0,5905,31183418,21,19024226,10609504,29449,196689,3617,35870120,1,5905,29449,41
Delphinapterus leucas,GCF_002288925.2,representative genome,na,PRJNA407951,SAMN06216270,NQVZ00000000.2,9749,9749,na,GAN/ISIS: 26980492/103006,latest,Scaffold,Major,Full,2019-08-29,ASM228892v3,BC Cancer Agency,GCA_002288925.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/288/925/GCF_002288925.2_ASM228892v3,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,5904.0,29443.0,NCBI RefSeq,NCBI Delphinapterus leucas Annotation Release 101,,27561.0,18469.0,5168.0,29232881,Monodontidae,"White, or beluga whale",17.3,,x,[21],2362774659.0,23539.0,0.0,0.0,5905.0,31183418.0,21.0,19024226.0,10609504.0,29444.0,196689.0,3617.0,35864186.0,1.0,5905.0,29444.0,41.0
Delphinus delphis,GCA_949987515.1,representative genome,na,PRJEB61571,SAMEA111380534,CATLKE000000000.1,9728,9728,na,na,latest,Chromosome,Major,Full,2023-05-01,mDelDel1.1,WELLCOME SANGER INSTITUTE,GCF_949987515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/949/987/515/GCA_949987515.1_mDelDel1.1,na,na,haploid,vertebrate_mammalian,,,42.0,23.0,630.0,630.0,WELLCOME SANGER INSTITUTE,Annotation submitted by WELLCOME SANGER INSTITUTE,,0.0,0.0,0.0,na, ,Common dolphin (+),20.0,,x,[175] [240] [284],2663533373.0,968.0,0.0,0.0,631.0,107080983.0,10.0,85328887.0,4320099.0,1599.0,3627551.0,235.0,193431.0,24.0,631.0,631.0,42.0
Delphinus delphis,GCF_949987515.1,representative genome,na,PRJNA1022093,SAMEA111380534,CATLKE000000000.1,9728,9728,na,na,latest,Chromosome,Major,Full,2023-05-01,mDelDel1.1,WELLCOME SANGER INSTITUTE,GCA_949987515.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/949/987/515/GCF_949987515.1_mDelDel1.1,na,na,haploid,vertebrate_mammalian,,,42.0,23.0,630.0,630.0,NCBI RefSeq,GCF_949987515.1-RS_2023_09,,27436.0,19091.0,4761.0,na, ,Common dolphin (+),20.0,,x,[175] [240] [284],2663516986.0,968.0,0.0,0.0,630.0,107080983.0,10.0,85328887.0,4320099.0,1598.0,3627551.0,235.0,193431.0,23.0,630.0,630.0,42.0
Desmodus rotundus,GCA_022682495.1,representative genome,na,PRJNA789528,SAMN24116476,JAKFFZ000000000.1,9430,9430,na,HL8,latest,Chromosome,Major,Full,2022-03-24,HLdesRot8A,Bat1K,GCF_022682495.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/682/495/GCA_022682495.1_HLdesRot8A,na,na,haploid,vertebrate_mammalian,2113473284.0,2113218221.0,43.0,14.0,572.0,572.0,Bat1K,Annotation submitted by Bat1K,,0.0,0.0,0.0,na, ,Common vampire bat,,19.5,f,[187],2113473284.0,611.0,0.0,0.0,572.0,160127860.0,6.0,113614289.0,101544622.0,1183.0,6762714.0,86.0,255063.0,14.0,572.0,572.0,43.0
Desmodus rotundus,GCF_022682495.1,representative genome,na,PRJNA939221,SAMN24116476,JAKFFZ000000000.1,9430,9430,na,HL8,latest,Chromosome,Major,Full,2022-03-24,HLdesRot8A,Bat1K,GCA_022682495.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/682/495/GCF_022682495.1_HLdesRot8A,na,na,haploid,vertebrate_mammalian,2113473284.0,2113218221.0,43.0,14.0,572.0,572.0,NCBI RefSeq,GCF_022682495.1-RS_2023_02,,29684.0,19615.0,4594.0,23850499;35333583, ,Common vampire bat,,19.5,f,[187],2113489943.0,611.0,0.0,0.0,573.0,160127860.0,6.0,113614289.0,101544622.0,1184.0,6762714.0,86.0,255063.0,15.0,573.0,573.0,43.0
Dicrostonyx torquatus,GCA_028555095.1,representative genome,na,PRJNA903212,SAMN31792452,JAQHUG000000000.1,85952,85952,ecotype=Chukotka,UAM 84102,latest,Scaffold,Major,Full,2023-02-08,ASM2855509v1,University of Alaska Fairbanks,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/555/095/GCA_028555095.1_ASM2855509v1,na,na,haploid,vertebrate_mammalian,,2077408939.0,42.0,0.0,31147.0,31147.0,University of Alaska Fairbanks,Annotation submitted by University of Alaska Fairbanks,,0.0,0.0,0.0,36329382, ,Arctic lemming,,3.8,x,[100],2517500801,173013,0,0,31147,5983314,124,2705183,921904,204160,22796,24476,440091862,0,31147,31147,42
Dinomys branickii,GCA_004027595.1,representative genome,na,PRJNA399389,SAMN07678079,PVLD000000000.1,108858,108858,na,US070,latest,Scaffold,Major,Full,2019-01-16,DinBra_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/595/GCA_004027595.1_DinBra_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,1158438.0,1158438.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Dinomyidae,Pacarana,,9.4,x,[143],2688563719,6392,0,0,1158438,77918,9284,27518,537,1164830,64805,11195,639200,0,1158438,1158438,2688563719
Dipodomys ordii,GCA_000151885.2,representative genome,na,PRJNA20385,SAMN02900551,ABRO00000000.2,10020,10020,na,6190,latest,Scaffold,Major,Full,2014-12-12,Dord_2.0,Baylor College of Medicine,GCF_000151885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/885/GCA_000151885.2_Dord_2.0,na,na,haploid,vertebrate_mammalian,,2065314047.0,42.0,0.0,65193.0,148226.0,Baylor College of Medicine,Annotation submitted by Baylor College of Medicine,,0.0,0.0,0.0,na, ,Kangaroo rat,,9.8,x,[299],2236368823,83033,0,0,65193,11931245,56,5133456,207198,148226,48087,11373,171054776,0,65193,148226,42
Dipodomys ordii,GCF_000151885.1,representative genome,na,PRJNA287906,SAMN02900551,ABRO00000000.2,10020,10020,na,6190,latest,Scaffold,Major,Full,2014-12-12,Dord_2.0,Baylor College of Medicine,GCA_000151885.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/885/GCF_000151885.1_Dord_2.0,na,na,haploid,vertebrate_mammalian,,2065314047.0,42.0,0.0,65193.0,148226.0,NCBI RefSeq,NCBI Dipodomys ordii Annotation Release 100,,23237.0,19786.0,709.0,na, ,Kangaroo rat,,9.8,x,[299],2236368823,83033,0,0,65193,11931245,56,5133456,207198,148226,48087,11373,171054776,0,65193,148226,2236368823
Dolichotis patagonum,GCA_004027295.1,representative genome,na,PRJNA399391,SAMN07678081,PVJX000000000.1,29091,29091,na,US062,latest,Scaffold,Major,Full,2019-01-16,DolPat_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/295/GCA_004027295.1_DolPat_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,40.0,0.0,1905764.0,1905764.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Patagonian cavy,,14.0,x,[101],3289614431,6223,0,0,1905764,31026,22098,3165,399,1911987,27983,25338,622300,0,1905764,1905764,3289614431
Dugong dugon,GCA_030035585.1,representative genome,na,PRJNA932812,SAMN33212336,JASCZL000000000.1,29137,29137,na,mDugDug1,latest,Chromosome,Major,Full,2023-05-18,mDugDug1.hap1,Vertebrate Genomes Project,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/035/585/GCA_030035585.1_mDugDug1.hap1,na,na,haploid,vertebrate_mammalian,,,40.5,24.0,198.0,198.0,Vertebrate Genomes Project,Annotation submitted by Vertebrate Genomes Project,,0.0,0.0,0.0,na,Dugongidae,Dugong (+),55.0,,x,[192],3158488110.0,96.0,0.0,0.0,198.0,140670990.0,9.0,114596181.0,79538652.0,294.0,57632671.0,17.0,19200.0,24.0,198.0,198.0,40.5
Echinops telfairi,GCA_000313985.2,representative genome,na,PRJNA12590,SAMN00216137,AAIY00000000.3,9371,9371,na,266,latest,Scaffold,Major,Full,2019-07-15,ASM31398v2,Broad Institute,GCF_000313985.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/985/GCA_000313985.2_ASM31398v2,na,na,haploid,vertebrate_mammalian,,,43.0,0.0,7489.0,7489.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na,Tenrecidae,Lesser Madagascar “hedgehog”,1.2,13.0,x,[100] [143],2947103070,270406,0,0,7489,54422506,17,21546417,8974509,277895,20425,35407,341923468,0,7489,7489,43
Echinops telfairi,GCF_000313985.2,representative genome,na,PRJNA193504,SAMN00216137,AAIY00000000.3,9371,9371,na,266,latest,Scaffold,Major,Full,2019-07-15,ASM31398v2,Broad Institute,GCA_000313985.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/985/GCF_000313985.2_ASM31398v2,na,na,haploid,vertebrate_mammalian,,,43.0,0.0,7489.0,7489.0,NCBI RefSeq,NCBI Echinops telfairi Annotation Release 103,,32104.0,20007.0,4728.0,na,Tenrecidae,Lesser Madagascar “hedgehog”,1.2,13.0,x,[100] [143],2947119619,270406,0,0,7490,54422506,17,21546417,8974509,277896,20425,35407,341923468,1,7490,7490,43
